66590340 | 66062792
65112055 | 64897114
59105329 | 58868322
70084866 | 69846673
62803681 | 62557334
55947969 | 54794406
177974435 | 177770083
219387245 | 212820305
219463521 | 219291861
167247647 | 167060728
90655916 | 90412209
136104382 | 135943187
142903665 | 142711719
145871871 | 145677457
87849897 | 87670630
92445948 | 92252981
73665804 | 73404905
116133536 | 115976872
138842298 | 138692136
118675024 | 118495383
110186942 | 110005969
122974924 | 122831760
94449855 | 94261364
96905021 | 96658470
129331014 | 129057454
136645781 | 136468778
94030846 | 93828334
90359831 | 90116610
124707148 | 124509558
133955893 | 133798404
77607509 | 77401265
80237373 | 78784422
149527266 | 149321717
142423832 | 142210075
120865413 | 120690615
179662099 | 179475351
243059168 | 242904067
235921914 | 235759608
173663451 | 173467294
153668479 | 153468469
166770384 | 166610310
151420143 | 151285571
165389486 | 165233419
171723902 | 171610642
203795769 | 203597763
153226503 | 153049190
128128140 | 127905640
148921144 | 148744955
115688883 | 115403809
178424729 | 178268109
108571226 | 108387485
78503215 | 72047031
219537695 | 219332009
223857279 | 223710303
226599835 | 226403493
156014868 | 155164263
123388514 | 123200732
160862814 | 160696262
132961451 | 132816137
170329851 | 170178418
165883383 | 165687684
116125745 | 115951079
133532283 | 133314923
113935471 | 113858508
74257819 | 74152756
113625277 | 113504495
162865467 | 162708879
60392374 | 60209050
59506313 | 59313733
110552613 | 110402534
120988494 | 120868486
138719503 | 138572639
135540060 | 135430038
155698763 | 155585050
124908330 | 124755313
118503240 | 118355456
118984256 | 118772246
112962327 | 112813081
118135125 | 117901943
109200627 | 108959979
135319332 | 135174940
168548726 | 168417199
122986716 | 122819973
325998769 | 325836454
322742720 | 322593047
313734004 | 313598025
355573206 | 355460828
323097238 | 322946570
211048980 | 210856164
308304496 | 308173090
271276069 | 271169242
295934079 | 295808071
367181677 | 367026842
336430681 | 336282267
303711924 | 303598034
327625073 | 327495691
378857166 | 378697935
327170481 | 327012947
201885771 | 201752295
179304746 | 179192368
265994461 | 265839872
301891974 | 301798444
309026889 | 308905242
313425928 | 313328782
253369067 | 253255845
258969650 | 258824750
279767337 | 279652187
271454014 | 271358614
263845662 | 263753756
383208795 | 383096328
238976186 | 238837229
290279820 | 290157641
237137305 | 236988297
297291685 | 297186678
201100140 | 200948790
231069825 | 230927729
260011798 | 259867832
304532750 | 304351656
276213817 | 276102114
569561328 | 569399600
